trend_start_type,bar_index,date,rule,trigger_bar_index
downtrend,1,2025-03-16T22:00:00+00:00,LowThenHigherClose_vs_PDSOpen,3
uptrend,1,2025-03-16T22:00:00+00:00,EngulfingUpPDSLowBreak,3
uptrend,3,2025-03-17T06:00:00+00:00,LowUndercutHighRespect,9
downtrend,6,2025-03-17T18:00:00+00:00,RallyLowBreaksPeakLow_A,9
uptrend,8,2025-03-18T02:00:00+00:00,FORCED_by_CDS_RallyLowBreaksPeakLow_A,12
downtrend,9,2025-03-18T06:00:00+00:00,RallyLowBreaksPeakLow_A,12
uptrend,11,2025-03-18T14:00:00+00:00,LowUndercutHighRespect,15
downtrend,13,2025-03-18T22:00:00+00:00,NewHighWeakAdvance_B,16
uptrend,15,2025-03-19T06:00:00+00:00,EngulfingUpPDSLowBreak,18
downtrend,17,2025-03-19T14:00:00+00:00,LowThenHigherClose_vs_PDSOpen,18
downtrend,18,2025-03-19T18:00:00+00:00,RallyLowBreaksPeakLow_A,29
uptrend,18,2025-03-19T18:00:00+00:00,EXHAUSTION_REVERSAL,21
uptrend,28,2025-03-21T10:00:00+00:00,FORCED_by_CDS_LowThenHigherClose_vs_PDSOpen,39
downtrend,36,2025-03-24T18:00:00+00:00,LowThenHigherClose_vs_PDSOpen,39
uptrend,39,2025-03-25T06:00:00+00:00,LowUndercutHighRespect,42
downtrend,41,2025-03-25T14:00:00+00:00,FailedRallyAfterLowBreak_F,43
uptrend,42,2025-03-25T18:00:00+00:00,EXHAUSTION_REVERSAL,44
downtrend,46,2025-03-26T10:00:00+00:00,RallyLowBreaksPeakLow_A,50
uptrend,49,2025-03-26T22:00:00+00:00,EXHAUSTION_REVERSAL,52
downtrend,51,2025-03-27T06:00:00+00:00,FailedRallyAfterLowBreak_F,53
uptrend,52,2025-03-27T10:00:00+00:00,FORCED_by_CDS_HigherOHLCAfterLowBreak_G,56
downtrend,53,2025-03-27T14:00:00+00:00,HigherOHLCAfterLowBreak_G,56
uptrend,55,2025-03-27T22:00:00+00:00,HigherHighLowerLowDownClose,57
downtrend,57,2025-03-28T06:00:00+00:00,RallyLowBreaksPeakLow_A,65
uptrend,64,2025-03-31T10:00:00+00:00,EXHAUSTION_REVERSAL,70
downtrend,66,2025-03-31T18:00:00+00:00,FORCED_by_CUS_EXHAUSTION_REVERSAL,74
uptrend,71,2025-04-01T14:00:00+00:00,EXHAUSTION_REVERSAL,74
downtrend,73,2025-04-01T22:00:00+00:00,FORCED_by_CUS_HigherHighLowerLowDownClose,78
uptrend,76,2025-04-02T10:00:00+00:00,HigherHighLowerLowDownClose,78
downtrend,78,2025-04-02T18:00:00+00:00,FailedRallyAfterLowBreak_F,80
uptrend,79,2025-04-02T22:00:00+00:00,EXHAUSTION_REVERSAL,81
downtrend,80,2025-04-03T02:00:00+00:00,FailedRallyAfterLowBreak_F,87
uptrend,86,2025-04-04T02:00:00+00:00,EXHAUSTION_REVERSAL,88
downtrend,87,2025-04-04T06:00:00+00:00,RallyLowBreaksPeakLow_A,94
uptrend,91,2025-04-06T22:00:00+00:00,BreakoutAfterFailedLowV2,100
downtrend,101,2025-04-08T14:00:00+00:00,RallyLowBreaksPeakLow_A,105
uptrend,104,2025-04-09T02:00:00+00:00,HigherHighLowerLowDownClose,111
downtrend,109,2025-04-09T22:00:00+00:00,FailedRallyAfterLowBreak_F,111
uptrend,110,2025-04-10T02:00:00+00:00,FORCED_by_CDS_RallyLowBreaksPeakLow_A,116
downtrend,111,2025-04-10T06:00:00+00:00,RallyLowBreaksPeakLow_A,116
uptrend,113,2025-04-10T14:00:00+00:00,EngulfingUpPDSLowBreak,119
downtrend,117,2025-04-11T06:00:00+00:00,LowThenHigherClose_vs_PDSOpen,119
uptrend,119,2025-04-11T14:00:00+00:00,BreakoutAfterFailedLowV2,124
downtrend,124,2025-04-14T10:00:00+00:00,RallyLowBreaksPeakLow_A,129
uptrend,134,2025-04-16T02:00:00+00:00,HigherHighLowerLowDownClose,137
downtrend,135,2025-04-16T06:00:00+00:00,RallyLowBreaksPeakLow_A,139
uptrend,138,2025-04-16T18:00:00+00:00,LowUndercutHighRespect,143
downtrend,141,2025-04-17T06:00:00+00:00,FailedRallyAfterLowBreak_F,144
uptrend,143,2025-04-17T14:00:00+00:00,EXHAUSTION_REVERSAL,145
downtrend,144,2025-04-17T18:00:00+00:00,RallyLowBreaksPeakLow_A,151
uptrend,150,2025-04-21T18:00:00+00:00,BreakoutAfterFailedLowV2,153
downtrend,151,2025-04-21T22:00:00+00:00,FORCED_by_CUS_LowUndercutHighRespect,156
uptrend,153,2025-04-22T06:00:00+00:00,LowUndercutHighRespect,156
downtrend,155,2025-04-22T14:00:00+00:00,NewHighWeakAdvance_B,157
uptrend,156,2025-04-22T18:00:00+00:00,BreakoutAfterFailedLowV2,159
downtrend,157,2025-04-22T22:00:00+00:00,FORCED_by_CUS_HigherHighLowerLowDownClose,161
uptrend,159,2025-04-23T06:00:00+00:00,HigherHighLowerLowDownClose,161
downtrend,161,2025-04-23T14:00:00+00:00,RallyLowBreaksPeakLow_A,166
uptrend,165,2025-04-24T06:00:00+00:00,BreakoutAfterFailedLowV2,170
downtrend,170,2025-04-25T02:00:00+00:00,LowThenHigherClose_vs_PDSOpen,173
uptrend,173,2025-04-25T14:00:00+00:00,EXHAUSTION_REVERSAL,175
downtrend,174,2025-04-25T18:00:00+00:00,HigherOHLCAfterLowBreak_G,177
uptrend,177,2025-04-28T06:00:00+00:00,EXHAUSTION_REVERSAL,179
downtrend,178,2025-04-28T10:00:00+00:00,RallyLowBreaksPeakLow_A,180
uptrend,179,2025-04-28T14:00:00+00:00,LowUndercutHighRespect,183
downtrend,182,2025-04-29T02:00:00+00:00,RallyLowBreaksPeakLow_A,185
uptrend,184,2025-04-29T10:00:00+00:00,LowUndercutHighRespect,188
downtrend,186,2025-04-29T18:00:00+00:00,RallyLowBreaksPeakLow_A,189
uptrend,188,2025-04-30T02:00:00+00:00,EXHAUSTION_REVERSAL,190
downtrend,189,2025-04-30T06:00:00+00:00,RallyLowBreaksPeakLow_A,192
uptrend,190,2025-04-30T10:00:00+00:00,HigherHighLowerLowDownClose,196
downtrend,195,2025-05-01T06:00:00+00:00,FORCED_by_CUS_LowUndercutHighRespect,199
uptrend,196,2025-05-01T10:00:00+00:00,LowUndercutHighRespect,199
downtrend,197,2025-05-01T14:00:00+00:00,LowThenHigherClose_vs_PDSOpen,199
uptrend,199,2025-05-01T22:00:00+00:00,FORCED_by_CDS_RallyLowBreaksPeakLow_A,202
downtrend,200,2025-05-02T02:00:00+00:00,RallyLowBreaksPeakLow_A,202
uptrend,201,2025-05-02T06:00:00+00:00,LowUndercutHighRespect,206
downtrend,204,2025-05-02T18:00:00+00:00,FailedRallyAfterLowBreak_F,207
uptrend,205,2025-05-04T22:00:00+00:00,FORCED_by_CDS_NewHighWeakAdvance_B,209
downtrend,207,2025-05-05T06:00:00+00:00,NewHighWeakAdvance_B,209
uptrend,208,2025-05-05T10:00:00+00:00,FORCED_by_CDS_RallyLowBreaksPeakLow_A,215
downtrend,210,2025-05-05T18:00:00+00:00,RallyLowBreaksPeakLow_A,215
uptrend,214,2025-05-06T10:00:00+00:00,EXHAUSTION_REVERSAL,216
downtrend,215,2025-05-06T14:00:00+00:00,NewHighWeakAdvance_B,217
uptrend,216,2025-05-06T18:00:00+00:00,HigherHighLowerLowDownClose,220
downtrend,217,2025-05-06T22:00:00+00:00,LowThenHigherClose_vs_PDSOpen,222
uptrend,222,2025-05-07T18:00:00+00:00,HigherHighLowerLowDownClose,226
downtrend,226,2025-05-08T10:00:00+00:00,LowThenHigherClose_vs_PDSOpen,227
downtrend,227,2025-05-08T14:00:00+00:00,LowThenHigherClose_vs_PDSOpen,232
uptrend,227,2025-05-08T14:00:00+00:00,EXHAUSTION_REVERSAL,233
downtrend,228,2025-05-08T18:00:00+00:00,FORCED_by_CUS_BreakoutAfterFailedLowV2,237
uptrend,234,2025-05-09T18:00:00+00:00,BreakoutAfterFailedLowV2,237
downtrend,238,2025-05-12T10:00:00+00:00,NewHighWeakAdvance_B,240
uptrend,239,2025-05-12T14:00:00+00:00,LowUndercutHighRespect,243
downtrend,240,2025-05-12T18:00:00+00:00,NewHighWeakAdvance_B,244
uptrend,243,2025-05-13T06:00:00+00:00,HigherHighLowerLowDownClose,249
downtrend,245,2025-05-13T14:00:00+00:00,RallyLowBreaksPeakLow_A,256
uptrend,255,2025-05-15T06:00:00+00:00,BreakoutAfterFailedLowV2,261
downtrend,264,2025-05-16T18:00:00+00:00,RallyLowBreaksPeakLow_A,268
uptrend,267,2025-05-19T06:00:00+00:00,LowUndercutHighRespect,273
downtrend,271,2025-05-19T22:00:00+00:00,FailedRallyAfterLowBreak_F,274
uptrend,273,2025-05-20T06:00:00+00:00,FORCED_by_CDS_FailedRallyAfterLowBreak_F,281
downtrend,274,2025-05-20T10:00:00+00:00,FailedRallyAfterLowBreak_F,281
uptrend,280,2025-05-21T10:00:00+00:00,EXHAUSTION_REVERSAL,282
downtrend,281,2025-05-21T14:00:00+00:00,FailedRallyAfterLowBreak_F,285
uptrend,282,2025-05-21T18:00:00+00:00,FORCED_by_CDS_RallyLowBreaksPeakLow_A,287
downtrend,285,2025-05-22T06:00:00+00:00,RallyLowBreaksPeakLow_A,287
uptrend,286,2025-05-22T10:00:00+00:00,LowUndercutHighRespect,291
downtrend,288,2025-05-22T18:00:00+00:00,LowThenHigherClose_vs_PDSOpen,291
uptrend,289,2025-05-22T22:00:00+00:00,FORCED_by_CDS_FailedRallyAfterLowBreak_F,294
downtrend,291,2025-05-23T06:00:00+00:00,FailedRallyAfterLowBreak_F,294
uptrend,292,2025-05-23T10:00:00+00:00,LowUndercutHighRespect,301
downtrend,297,2025-05-26T06:00:00+00:00,NewHighWeakAdvance_B,302
uptrend,301,2025-05-27T02:00:00+00:00,EXHAUSTION_REVERSAL,303
downtrend,302,2025-05-27T06:00:00+00:00,NewHighWeakAdvance_B,304
uptrend,303,2025-05-27T10:00:00+00:00,EXHAUSTION_REVERSAL,307
downtrend,305,2025-05-27T18:00:00+00:00,NewHighWeakAdvance_B,309
uptrend,308,2025-05-28T06:00:00+00:00,EXHAUSTION_REVERSAL,310
downtrend,309,2025-05-28T10:00:00+00:00,RallyLowBreaksPeakLow_A,312
uptrend,311,2025-05-28T18:00:00+00:00,HigherHighLowerLowDownClose,314
